"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
-0.983333333333333,0,0,0,0,40,-59,1,0
-0.966666666666667,0,0,0,0,40,-58,1,0
-0.95,0,0,0,0,40,-57,1,0
-0.933333333333333,0,0,0,0,40,-56,1,0
-0.916666666666667,0,0,0,0,40,-55,1,0
-0.9,0,0,0,0,40,-54,1,0
-0.883333333333333,0,0,0,0,40,-53,1,0
-0.866666666666667,0,0,0,0,40,-52,1,0
-0.85,0,0,0,0,40,-51,1,0
-0.833333333333333,0,0,0,0,40,-50,1,0
-0.816666666666667,0,0,0,0,40,-49,1,0
-0.8,0,0,0,0,40,-48,1,0
-0.783333333333333,0,0,0,0,40,-47,1,0
-0.766666666666667,0,0,0,0,40,-46,1,0
-0.75,0,0,0,0,40,-45,1,0
-0.733333333333333,0,0,0,0,40,-44,1,0
-0.716666666666667,0,0,0,0,40,-43,1,0
-0.7,0,0,0,0,40,-42,1,0
-0.683333333333333,0,0,0,0,40,-41,1,0
-0.666666666666667,0,0,0,0,40,-40,1,0
-0.65,0,0,0,0,40,-39,1,0
-0.633333333333333,0,0,0,0,40,-38,1,0
-0.616666666666667,0,0,0,0,40,-37,1,0
-0.6,0,0,0,0,40,-36,1,0
-0.583333333333333,0,0,0,0,40,-35,1,0
-0.566666666666667,0,0,0,0,40,-34,1,0
-0.55,0,0,0,0,40,-33,1,0
-0.533333333333333,0,0,0,0,40,-32,1,0
-0.516666666666667,0,0,0,0,40,-31,1,0
-0.5,0,0,0,0,40,-30,1,0
-0.483333333333333,0,0,0,0,40,-29,1,0
-0.466666666666667,0,0,0,0,40,-28,1,0
-0.45,0,0,0,0,40,-27,1,0
-0.433333333333333,0,0,0,0,40,-26,1,0
-0.416666666666667,0,0,0,0,40,-25,1,0
-0.4,0,0,0,0,40,-24,1,0
-0.383333333333333,0,0,0,0,40,-23,1,0
-0.366666666666667,0,0,0,0,40,-22,1,0
-0.35,0,0,0,0,40,-21,1,0
-0.333333333333333,0,0,0,0,40,-20,1,0
-0.316666666666667,0,0,0,0,40,-19,1,0
-0.3,0,0,0,0,40,-18,1,0
-0.283333333333333,0,0,0,0,40,-17,1,0
-0.266666666666667,0,0,0,0,40,-16,1,0
-0.25,0,0,0,0,40,-15,1,0
-0.233333333333333,0,0,0,0,40,-14,1,0
-0.216666666666667,0,0,0,0,40,-13,1,0
-0.2,0,0,0,0,40,-12,1,0
-0.183333333333333,0,0,0,0,40,-11,1,0
-0.166666666666667,0,0,0,0,40,-10,1,0
-0.15,0,0,0,0,40,-9,1,0
-0.133333333333333,0,0,0,0,40,-8,1,0
-0.116666666666667,0,0,0,0,40,-7,1,0
-0.1,0,0,0,0,40,-6,1,0
-0.0833333333333334,0,0,0,0,40,-5,1,0
-0.0666666666666667,0,0,0,0,40,-4,1,0
-0.05,0,0,0,0,40,-3,1,0
-0.0333333333333333,0,0,0,0,40,-2,1,0
-0.0166666666666667,0,0,0,0,40,-1,1,0
0,0,0,0,0,40,0,1,0
0.0166666666666667,-0.00374550561666667,-0.00366399971666667,0.000976237616666667,-0.00247701363333333,39.9594980825333,1,1,-0.0405019174666667
0.0333333333333333,-0.00749101123333333,-0.00732799943333333,0.00195247523333333,-0.00495402726666667,39.9189961650667,2,1.00333333333333,-0.0810038349333333
0.05,-0.01123651685,-0.01099199915,0.00292871285,-0.0074310409,39.8784942476,3,1.00666666666667,-0.1215057524
0.0666666666666667,-0.0149820224666667,-0.0146559988666667,0.00390495046666667,-0.00990805453333333,39.8379923301333,4,1.01,-0.162007669866667
0.0833333333333333,-0.0187275280833333,-0.0183199985833333,0.00488118808333333,-0.0123850681666667,39.7974904126667,5,1.01333333333333,-0.202509587333333
0.1,-0.0224730337,-0.0219839983,0.0058574257,-0.0148620818,39.7569884952,6,1.01666666666667,-0.2430115048
0.116666666666667,-0.0262185393166667,-0.0256479980166667,0.00683366331666667,-0.0173390954333333,39.7164865777333,7,1.02,-0.283513422266667
0.133333333333333,-0.0299640449333333,-0.0293119977333333,0.00780990093333333,-0.0198161090666667,39.6759846602667,8,1.02333333333333,-0.324015339733333
0.15,-0.03370955055,-0.03297599745,0.00878613855,-0.0222931227,39.6354827428,9,1.02666666666667,-0.3645172572
0.166666666666667,-0.0374550561666667,-0.0366399971666667,0.00976237616666667,-0.0247701363333333,39.5949808253333,10,1.03,-0.405019174666667
